City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
166,Vestmanna,FO,62.1564,-7.1664,49.12,100,90,14.97,overcast clouds
167,Seoul,KR,37.5683,126.9778,69.24,67,96,2.62,overcast clouds
168,Khatanga,RU,71.9667,102.5,32.29,85,100,7.94,overcast clouds
169,Pocoes,BR,-14.5297,-40.3653,79.14,47,34,11.56,scattered clouds
170,Katsuura,JP,35.1333,140.3,66.31,72,66,11.5,broken clouds
171,Thap Than,TH,15.4606,99.8917,73.49,98,100,4.16,light rain
172,Mareeba,AU,-17.0,145.4333,65.12,92,61,2.57,broken clouds
173,Bhadrachalam,IN,17.6667,80.8833,76.53,95,100,2.3,heavy intensity rain
174,Zyryanka,RU,65.75,150.85,32.56,82,100,8.16,overcast clouds
175,Olafsvik,IS,64.8945,-23.7142,40.8,93,100,41.07,overcast clouds
176,Tasiilaq,GL,65.6145,-37.6368,39.36,70,47,2.86,scattered clouds
177,Kiama,AU,-34.6833,150.8667,53.38,89,93,2.42,overcast clouds
178,Vysotsk,RU,60.6288,28.5705,45.84,80,11,6.4,few clouds
179,Barrhead,GB,55.7992,-4.3929,64.13,90,75,3.0,light rain
180,Vardo,NO,70.3705,31.1107,48.4,76,0,16.11,light rain
181,Libreville,GA,0.3925,9.4537,76.26,89,100,3.42,overcast clouds
182,Tessalit,ML,20.1986,1.0114,96.31,10,0,14.81,clear sky
183,Juneau,US,58.3019,-134.4197,48.85,88,90,0.0,overcast clouds
184,Anito,PH,12.4497,125.2886,77.29,92,89,4.29,overcast clouds
185,Bondo,CD,3.8146,23.6866,69.3,99,85,2.04,moderate rain
186,Oktyabrskoye,RU,43.0645,44.7417,46.54,93,1,4.47,clear sky
187,Karratha,AU,-20.7377,116.8463,70.99,46,3,15.14,clear sky
188,Ugoofaaru,MV,5.6667,73.0,77.63,87,100,27.11,overcast clouds
189,Escondido,US,33.1192,-117.0864,77.29,84,90,1.01,mist
190,Nadym,RU,65.5333,72.5167,32.74,81,6,5.82,clear sky
191,Sankt Ingbert,DE,49.2833,7.1167,64.65,79,40,3.44,scattered clouds
192,Georgetown,MY,5.4112,100.3354,76.95,97,40,1.01,scattered clouds
193,Eyl,SO,7.9803,49.8164,78.98,78,62,21.92,broken clouds
194,Faanui,PF,-16.4833,-151.75,79.3,76,5,15.19,light rain
195,Broome,US,42.2506,-75.833,68.02,56,75,3.0,broken clouds
196,Along,IN,28.1667,94.7667,71.96,94,34,2.35,scattered clouds
197,Maumere,ID,-8.6199,122.2111,77.34,80,84,5.44,broken clouds
198,Amapa,BR,1.0,-52.0,96.76,30,80,4.56,broken clouds
199,Tuktoyaktuk,CA,69.4541,-133.0374,32.0,100,90,17.27,light snow
200,Sao Filipe,CV,14.8961,-24.4956,79.54,75,60,6.02,broken clouds
201,Beringovskiy,RU,63.05,179.3167,36.59,61,88,4.54,overcast clouds
202,Yaan,NG,7.3833,8.5667,75.87,88,70,5.79,broken clouds
203,Shenjiamen,CN,29.9576,122.298,76.62,89,28,9.15,scattered clouds
204,Thinadhoo,MV,0.5333,72.9333,81.59,78,99,16.87,overcast clouds
205,Airai,TL,-8.9266,125.4092,57.92,79,93,2.33,overcast clouds
206,Chalus,IR,36.655,51.4204,63.86,77,75,4.61,broken clouds
207,Freeport,US,40.6576,-73.5832,75.11,44,1,7.0,clear sky
208,Watertown,US,42.3709,-71.1828,75.97,57,75,5.01,broken clouds
209,Kaitangata,NZ,-46.2817,169.8464,32.76,92,22,5.14,few clouds
210,Necochea,AR,-38.5473,-58.7368,53.04,70,39,17.09,scattered clouds
211,Huaihua,CN,27.5494,109.9592,79.77,64,58,1.48,light rain
212,Narsaq,GL,60.9167,-46.05,44.82,42,0,1.86,clear sky
213,Saint-Pierre,RE,-21.3393,55.4781,71.28,81,75,18.41,light rain
214,Tecoanapa,MX,16.5167,-98.75,85.71,63,95,7.14,overcast clouds
215,Atagay,RU,55.1033,99.3875,30.9,86,48,0.43,scattered clouds
216,Marawi,PH,7.9986,124.2928,65.64,90,100,3.47,overcast clouds
217,Saldanha,ZA,-33.0117,17.9442,59.13,89,2,19.08,clear sky
218,Grafton,US,42.207,-71.6856,74.71,49,40,1.01,scattered clouds
219,Pontes E Lacerda,BR,-15.2261,-59.3353,90.03,44,39,5.73,scattered clouds
220,Santiago Del Estero,AR,-27.7951,-64.2615,93.81,14,0,9.73,clear sky
221,Launceston,AU,-41.45,147.1667,38.61,92,40,1.99,scattered clouds
222,Teya,RU,60.3778,92.6267,37.27,91,100,7.87,overcast clouds
223,Carnarvon,AU,-24.8667,113.6333,59.07,77,40,3.44,scattered clouds
224,Puerto Escondido,MX,15.85,-97.0667,87.04,62,54,5.53,broken clouds
225,Houma,US,29.5958,-90.7195,82.99,58,1,9.22,clear sky
226,Srednekolymsk,RU,67.45,153.6833,33.03,97,100,19.35,light snow
227,Pombia,IT,45.653,8.6336,66.07,94,75,1.14,broken clouds
228,Kodiak,US,57.79,-152.4072,44.11,70,1,9.22,clear sky
229,Tooele,US,40.5308,-112.2983,83.68,29,1,0.0,clear sky
230,The Pas,CA,53.8251,-101.2541,64.42,48,1,6.91,clear sky
231,Vila Velha,BR,-20.3297,-40.2925,79.97,67,0,20.71,clear sky
232,Nabire,ID,-3.3667,135.4833,76.28,90,84,3.8,broken clouds
233,Thunder Bay,CA,48.4001,-89.3168,68.29,46,75,5.75,broken clouds
234,Newcastleton,GB,55.1796,-2.8127,62.74,86,86,8.97,overcast clouds
235,Suslovo,RU,56.2167,88.1167,35.24,96,99,1.16,light rain
236,Praya,CV,14.9215,-23.5087,82.94,69,75,14.97,broken clouds
237,Lebu,CL,-37.6167,-73.65,52.56,58,28,20.31,scattered clouds
238,Saint George,US,37.1041,-113.5841,86.54,31,1,1.01,clear sky
239,Palmer,US,42.1584,-72.3287,72.55,42,20,1.01,few clouds
240,Yulara,AU,-25.2406,130.9889,69.64,19,96,0.0,overcast clouds
241,Kununurra,AU,-15.7667,128.7333,69.78,73,98,4.61,overcast clouds
242,George,ZA,-33.963,22.4617,58.55,88,0,12.66,clear sky
243,Santa Cruz,BO,-17.8,-63.1667,101.3,19,0,16.2,clear sky
244,Hutchinson,US,38.0608,-97.9298,93.15,21,1,3.0,clear sky
245,Aripuana,BR,-9.1667,-60.6333,93.45,39,36,1.59,scattered clouds
246,Ascope,PE,-7.7144,-79.1078,60.13,51,45,10.25,scattered clouds
247,Saint Anthony,US,45.0205,-93.218,78.73,55,1,3.0,clear sky
248,Bud,US,39.447,-86.1758,76.46,46,30,11.74,scattered clouds
249,Berlevag,NO,70.8578,29.0864,50.0,77,100,16.69,overcast clouds
250,Hambantota,LK,6.1241,81.1185,80.08,82,100,23.09,overcast clouds
251,Emba,KZ,48.8264,58.1442,52.65,64,72,11.3,broken clouds
252,Namatanai,PG,-3.6667,152.4333,79.41,80,97,3.67,light rain
253,Alyangula,AU,-13.8483,136.4192,76.46,80,82,5.06,broken clouds
254,Kenai,US,60.5544,-151.2583,40.14,90,1,0.0,clear sky
255,Sovetskiy,RU,61.3614,63.5842,34.57,77,98,7.31,overcast clouds
256,Seybaplaya,MX,19.65,-90.6667,89.06,58,85,6.58,overcast clouds
257,Provideniya,RU,64.3833,-173.3,32.68,94,94,6.35,light snow
258,Dalbandin,PK,28.8947,64.4101,83.89,8,0,2.62,clear sky
259,Hasaki,JP,35.7333,140.8333,64.8,69,45,13.09,scattered clouds
260,Michalovce,SK,48.7543,21.9195,63.9,72,23,4.16,few clouds
261,Gaya,IN,24.7833,85.0,78.71,94,75,5.75,mist
262,Ancud,CL,-41.8697,-73.8203,49.53,61,24,8.12,few clouds
263,Davila,PH,18.4726,120.5763,80.58,82,3,16.37,clear sky
264,Beloha,MG,-25.1667,45.05,72.9,65,1,9.19,clear sky
265,Valdez,EC,1.2492,-78.9831,79.43,78,78,9.73,broken clouds
266,Feldkirchen,DE,48.148,11.7434,67.98,95,91,13.22,light rain
267,Flinders,AU,-34.5833,150.8552,53.19,86,93,1.01,overcast clouds
268,Manadhoo,MV,5.7667,73.3833,78.01,87,100,26.87,overcast clouds
269,Mogadishu,SO,2.0371,45.3438,78.19,82,4,18.5,clear sky
270,Puerto Berrio,CO,6.4916,-74.4033,96.35,37,51,1.81,broken clouds
271,Kaupanger,NO,61.1845,7.2404,57.69,82,40,1.14,scattered clouds
272,Bontang,ID,0.1333,117.5,77.09,89,59,4.88,broken clouds
273,Maraa,BR,-1.8333,-65.3667,87.67,59,78,0.69,broken clouds
274,Uhryniv,UA,48.9552,24.6929,59.04,94,75,2.24,broken clouds
275,Archidona,ES,37.0965,-4.3887,78.39,36,94,2.95,overcast clouds
276,Kahului,US,20.8947,-156.47,80.96,84,20,18.41,few clouds
277,Neiafu,TO,-18.65,-173.9833,59.68,94,20,0.0,few clouds
278,Uvalde,US,29.3669,-99.767,86.18,22,1,8.05,clear sky
279,Nanning,CN,22.8167,108.3167,79.25,82,20,2.71,light rain
280,Lenart,SI,46.5761,15.8313,69.04,87,0,3.44,clear sky
281,Luena,AO,-11.7833,19.9167,72.66,29,95,5.21,overcast clouds
282,Grand Forks,US,47.9417,-97.4337,75.58,39,1,10.36,clear sky
283,Khash,IR,28.2211,61.2158,75.42,9,1,3.78,clear sky
284,Sungaipenuh,ID,-2.0833,101.3833,65.79,99,100,1.41,overcast clouds
285,Russell,US,32.3502,-85.1999,81.68,47,19,5.75,few clouds
286,Belmonte,BR,-15.8631,-38.8828,77.5,65,80,8.08,broken clouds
287,Mar Del Plata,AR,-38.0023,-57.5575,60.1,63,0,10.0,clear sky
288,Kieta,PG,-6.2167,155.6333,78.62,83,69,1.83,broken clouds
289,Qom,IR,34.6401,50.8764,71.47,29,0,6.44,clear sky
290,Caravelas,BR,-17.7125,-39.2481,78.85,54,100,9.51,overcast clouds
291,Lasa,IT,46.6166,10.7002,63.01,97,100,2.53,light rain
292,Noumea,NC,-22.2763,166.4572,58.98,71,15,3.85,few clouds
293,Raudeberg,NO,61.9875,5.1352,61.47,77,99,10.6,overcast clouds
294,Shimoda,JP,34.6667,138.95,64.11,84,75,13.85,broken clouds
295,Sterling,US,39.0062,-77.4286,76.28,42,40,1.01,scattered clouds
296,Dubrovka,RU,53.6907,33.5071,46.38,91,59,12.15,broken clouds
297,Giyani,ZA,-23.3025,30.7187,77.74,23,0,6.2,clear sky
298,Geraldton,AU,-28.7667,114.6,62.13,77,40,8.05,scattered clouds
299,Te Anau,NZ,-45.4167,167.7167,30.36,93,23,1.16,few clouds
300,Acurenam,GQ,1.0322,10.6488,69.4,98,84,3.33,broken clouds
301,Rundu,NA,-17.9333,19.7667,77.29,9,0,4.92,clear sky
302,Dubbo,AU,-32.25,148.6167,50.13,71,4,13.8,clear sky
303,Deputatskiy,RU,69.3,139.9,27.84,86,100,21.79,overcast clouds
304,Lobito,AO,-12.3481,13.5456,71.11,78,21,4.97,few clouds
305,Klaksvik,FO,62.2266,-6.589,50.92,90,100,24.63,overcast clouds
306,Lorengau,PG,-2.0226,147.2712,80.28,82,73,7.58,broken clouds
