City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
200,Sao Filipe,CV,79.54,broken clouds,14.8961,-24.4956,Hotel Xaguate
202,Yaan,NG,75.87,broken clouds,7.3833,8.5667,
203,Shenjiamen,CN,76.62,scattered clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
207,Freeport,US,75.11,clear sky,40.6576,-73.5832,The Freeport Inn and Marina
208,Watertown,US,75.97,broken clouds,42.3709,-71.1828,Apt downtown Waltham
211,Huaihua,CN,79.77,light rain,27.5494,109.9592,怀化天庆大酒店
213,Saint-Pierre,RE,71.28,light rain,-21.3393,55.4781,Lindsey Hôtel
218,Grafton,US,74.71,scattered clouds,42.207,-71.6856,The Grafton Inn
231,Vila Velha,BR,79.97,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
232,Nabire,ID,76.28,broken clouds,-3.3667,135.4833,Hotel Nusantara Nabire
239,Palmer,US,72.55,few clouds,42.1584,-72.3287,Wedgewood Motel
247,Saint Anthony,US,78.73,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
248,Bud,US,76.46,scattered clouds,39.447,-86.1758,Ted McQuinn Trust
252,Namatanai,PG,79.41,light rain,-3.6667,152.4333,Seagulls Inn Namatani
253,Alyangula,AU,76.46,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
261,Gaya,IN,78.71,mist,24.7833,85.0,SPOT ON 61644 Hotel Kumar Kripa
264,Beloha,MG,72.9,clear sky,-25.1667,45.05,
265,Valdez,EC,79.43,broken clouds,1.2492,-78.9831,Casa Alquiler Doña Yenner y Don Wacho
268,Manadhoo,MV,78.01,overcast clouds,5.7667,73.3833,Vevu Guesthouse
269,Mogadishu,SO,78.19,clear sky,2.0371,45.3438,Hotel Juba
272,Bontang,ID,77.09,broken clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
275,Archidona,ES,78.39,overcast clouds,37.0965,-4.3887,Hotel Escua
279,Nanning,CN,79.25,light rain,22.8167,108.3167,Nanning Travelling With Hostel
281,Luena,AO,72.66,overcast clouds,-11.7833,19.9167,Hotel Kandamba
282,Grand Forks,US,75.58,clear sky,47.9417,-97.4337,Warrior Inn
283,Khash,IR,75.42,clear sky,28.2211,61.2158,دفتر پیشخوان دولت جمال زهی (خالد)
286,Belmonte,BR,77.5,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
288,Kieta,PG,78.62,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
289,Qom,IR,71.47,clear sky,34.6401,50.8764,Qom Hotel
290,Caravelas,BR,78.85,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
295,Sterling,US,76.28,scattered clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
297,Giyani,ZA,77.74,clear sky,-23.3025,30.7187,Kulani Country Lodge
304,Lobito,AO,71.11,few clouds,-12.3481,13.5456,Casa Rosa Hotel Residence
312,Gweta,BW,76.82,clear sky,-20.1833,25.2333,Gweta Lodge
319,Ambon,ID,75.34,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
323,Takoradi,GH,74.73,overcast clouds,4.8845,-1.7554,Raybow International Hotel
332,Taloqan,AF,70.18,clear sky,36.7361,69.5345,Saraisang street
336,Kasongo-Lunda,CD,76.93,light rain,-6.4667,16.8167,
338,Sorong,ID,78.33,broken clouds,-0.8833,131.25,waigo splash hotel
347,Kumano,JP,70.72,broken clouds,34.3442,132.5894,ホテル コラソン
357,Chico,US,73.94,clear sky,39.7285,-121.8375,Quality Inn Near Chico State
359,Bandarbeyla,SO,78.69,broken clouds,9.4942,50.8122,JABIR HOTEL
360,Dingle,PH,76.08,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
361,Cap Malheureux,MU,72.09,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
364,Soyo,AO,75.61,broken clouds,-6.1349,12.3689,Hotel Mpampa
